cloud_cover,diurnal _temp,frost_frequency,evo_transpiration,vapour_pressure,wetday_frequency,elevation,lumpy_disease
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
71.8,7,13.65,0.8,6.4,9.73,147,1
71.9,8.4,8.31,1.1,7.5,10.82,155,1
71.9,8.4,8.31,1.1,7.5,10.82,155,1
71.9,8.4,8.31,1.1,7.5,10.82,155,1
71.9,8.4,8.31,1.1,7.5,10.82,155,1
82,6,26.09,0.7,3.8,10.45,151,1
71.8,7,13.65,0.8,6.4,9.73,147,1
71.8,7,13.65,0.8,6.4,9.73,147,1
71.8,7,13.65,0.8,6.4,9.73,147,1
71.8,7,13.65,0.8,6.4,9.73,147,1
71.8,7,13.65,0.8,6.4,9.73,147,1
71.8,7,13.65,0.8,6.4,9.73,147,1
78,5.9,26.58,0.9,3.1,10.44,152,1
78,5.9,26.58,0.9,3.1,10.44,152,1
78,5.9,26.58,0.9,3.1,10.44,152,1
81,6.6,24.49,0.8,4.4,10.8,131,1
78,7.3,23.68,0.8,4.8,11.21,191,1
78,7.3,23.68,0.8,4.8,11.21,191,1
78,7.3,23.68,0.8,4.8,11.21,191,1
71.1,7.3,25.15,0.7,4.3,11.33,192,1
81,6.6,24.49,0.8,4.4,10.8,131,1
73.6,7.7,14.72,0.8,6.5,10.6,150,1
73.6,7.7,14.72,0.8,6.5,10.6,150,1
73.6,7.7,14.72,0.8,6.5,10.6,150,1
73.6,7.7,14.72,0.8,6.5,10.6,150,1
73.6,7.7,14.72,0.8,6.5,10.6,150,1
81,6.6,24.49,0.8,4.4,10.8,131,1
78,7.3,23.68,0.8,4.8,11.21,191,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
73.6,7.7,14.72,0.8,6.5,10.6,150,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
71.1,8.3,12.33,0.9,6.9,11.11,170,1
80.1,6.7,25.04,0.7,4.4,10.81,151,1
80.1,6.7,25.04,0.7,4.4,10.81,151,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
78,7.3,23.68,0.8,4.8,11.21,191,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
82,6,26.09,0.7,3.8,10.45,151,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
79.1,7.1,24.03,0.8,4.7,11.17,158,1
