CC,DT,FF,ET,TEMP,VP,WDF,LUMPY
65.5,7.8,1.66,1.8,11.2,9.2,12.31,0
66.5,6.6,2.31,1.7,10.1,8.6,6.13,0
74,5.4,6.71,1.6,7.1,6.6,9.06,0
76.6,4.7,4.45,1.6,7.8,7,9.03,0
79.4,4.7,3.91,1.5,8.1,7.3,9.05,0
81.8,4.4,3.56,1.5,8.2,7.5,8.62,0
86.3,3.4,1.91,1.4,8.8,8.1,8.27,0
85.9,3.4,2.75,1.5,8.2,7.4,8.11,0
88.5,3.8,1.66,1.5,9.2,7.8,8.15,0
90.3,4,1.31,1.5,9.6,7.9,7.9,0
90.6,3.8,0.83,1.5,10,8.3,9.06,0
83.7,3.9,1.91,1.4,9,7.9,9.49,0
85,4,2.6,1.4,8.6,7.7,8.62,0
81.5,3.8,3.06,1.5,8.2,7.3,8.5,0
56.1,7.8,0.74,1.8,12.1,10.4,16.14,0
62.7,6.8,1.11,1.8,11.2,9.5,13.37,0
72.2,4.9,0,1.8,12.5,10.2,10.19,0
78.3,3.9,0,1.9,13.7,10.2,9.98,0
79,3.7,0,1.8,12.4,9.3,8.88,0
81.4,3.8,0,1.7,12,9.4,8.86,0
84.8,3.7,0.01,1.6,11.6,9.5,8.37,0
86.3,3.6,0.74,1.5,10,8.7,8.57,0
87.8,3.7,0.52,1.5,10.3,8.9,8.08,0
88.6,3.8,0.52,1.5,10.4,8.9,8.3,0
89.1,3.9,0.39,1.5,10.6,8.9,8.06,0
87.1,3.9,0.45,1.5,10.5,8.9,8.77,0
88.9,4.4,1.66,1.4,9.5,8.5,2.6,0
86.2,4.5,1.78,1.4,9.4,8.5,7.62,0
82.2,4.3,2.04,1.5,9.1,8.3,7.04,0
58.7,7.6,0,1.9,14.3,12.1,17.87,0
64.1,6.5,0,2,14.9,12.1,14.75,0
71.1,5,0,1.9,14.6,11.3,12.4,0
78.8,4.1,0,2,14.5,10.2,11.15,0
77.9,3.7,0,2,16.2,11.8,9.27,0
81.4,3.6,0,1.8,15,11.6,8.34,0
84.8,3.2,0,1.7,13.5,10.8,8.66,0
86.3,3.3,0,1.6,12,9.9,8.61,0
87.8,3.6,0.28,1.5,10.7,9.1,8.62,0
87.2,4.3,0.23,1.5,11.1,9.6,8.17,0
86.4,4,0.15,1.5,11.2,9.7,7.82,0
85.2,4.2,0.39,1.5,10.8,9.5,8.41,0
86.7,4.2,1.31,1.4,9.7,9.1,8.16,0
84.6,4.4,1.54,1.4,9.6,9,6.53,0
82.3,4.4,1.78,1.4,9.4,8.8,5.68,0
62.3,6.8,0,2,14.9,12.3,14.82,0
73.5,5.6,0,2,15.2,11.9,13.14,0
77.4,4.6,0,2,15.5,11.1,11.63,0
76.3,3.9,0,2,13.1,9.2,12.64,0
79.7,3.4,0,1.9,15.4,11.7,9.39,0
83.4,3,0,1.8,15.1,11.9,8.89,0
86.1,3,0,1.7,13.6,11.1,8.78,0
86.2,3.3,0,1.6,11.9,10.1,8.51,0
86.3,3.8,0.06,1.6,11.4,9.9,7.56,0
82.5,4.2,0.23,1.6,11.1,9.8,6.98,0
85.6,4.1,0.45,1.5,10.6,9.5,7.53,0
85.6,4.1,0.59,1.4,10.4,9.8,7.18,0
84.9,4.9,0.52,1.4,10.9,10.3,6.63,0
83.6,5,0.59,1.5,10.9,10.1,4.96,0
66.9,6.5,0,2.1,15.9,12.7,12.45,0
72.6,5.6,0,2,15.6,12.3,10.91,0
73.7,4.2,0,2,14.8,10.9,12.64,0
77.9,3.7,0,2,14.9,11.2,11.21,0
82,2.8,0,1.9,15.4,12.2,9.4,0
82.7,2.5,0,1.8,14.7,11.9,9.17,0
85.9,2.8,0,1.7,13.5,11.4,7.06,0
81.6,3.4,0,1.6,12.6,10.9,6.46,0
81.6,3.8,0,1.6,12.1,10.5,7.51,0
72,4.2,0,2,14.3,11.1,12.32,0
73,3.5,0,2,14.4,11.3,10.27,0
78.8,2.6,0,1.8,14.5,11.9,9.14,0
